position_title;required_skills
HR Initiatives Program;['judgment', 'communication', 'cross-functional project management', 'indirect influence (preferred)', 'hr project management (preferred)', 'independent work', 'project management', 'google suite proficiency (preferred)', 'writing', 'establishing trust with senior leaders', 'data analysis', 'hr technology (preferred)']
Full-Stack WordPress Developer;['wordpress', 'theme development', 'javascript', 'debugging', 'plugin development', 'backend development', 'jquery']
IT Systems Administrator;['aws', 'okta', 'enterprise endpoint management', 'business continuity', 'collaboration tools', 'networking', 'troubleshooting', 'device lifecycle management', 'tier 3 systems support', 'azure', 'macos administration', 'disaster recovery', 'access control systems', 'google admin', 'technical support', 'gcp', 'jamf']
Healthcare Officer;['business strategy', 'healthcare standards', 'stakeholder collaboration', 'healthcare regulations', 'strategic oversight', 'patient outcome improvement', 'vision/mission promotion', 'organizational skills', 'analytical skills', 'strategic goal achievement', 'service design', 'leadership', 'conflict management', 'senior management team building']
Healthcare Services Vice President;['prior authorization', 'utilization management', 'clinical policy development', 'line management', 'case-health management', 'quality improvement', 'operational improvement', 'quality standards', 'teamwork/teaming skills', 'accreditation standards', 'healthcare cost management', 'inpatient review', 'managed care', 'regulatory compliance', 'communication skills', 'leadership skills', 'clinical operations', 'process improvement']
Human Resources Manager;['staff development', 'hr support', 'employee relations', 'hris (workday preferred)', 'direction', 'microsoft office', 'organization', 'employee engagement', 'communication', 'talent development', 'hr strategy', 'local employment law', 'training and development', 'onboarding', 'performance management', 'decision-making', 'compensation and benefits', 'compensation management', 'problem-solving', 'exit interviews', 'hr guidance', 'culture development', 'performance evaluation', 'development', 'training', 'benefits administration', 'implementation', 'recruiting', 'performance coaching', 'human resources management', 'documentation', 'hr policies', 'employment laws', 'change management', 'planning', 'dei']
Human Resources Generalist;['pay/benefits/leave administration', 'grievance handling', 'policy enforcement', 'interpersonal skills', 'recruitment/onboarding/offboarding', 'compliance maintenance', 'communication skills', 'hr functions', 'hr tasks']
Human Resources Assistant;['audits', 'recruiting site maintenance', 'project tracking', 'research', 'recognition programs', 'project management', 'hris administration', 'event planning', 'record keeping', 'resume processing', 'marketing', 'reporting', 'interview scheduling', 'ms office proficiency', 'intern event assistance', 'onboarding', 'information session planning', 'customer service']
IT Project Manager;['project management tools proficiency', 'software development management', 'microsoft office proficiency', 'stakeholder communication', 'infrastructure management', 'it project management', 'project lifecycle management', 'retail technology project management']
IT Systems Administrator;['report generation', 'it security', 'database creation', 'network engineering', 'it support', 'proof of concept (poc) development', 'automation', 'system monitoring', 'network devices (cisco switches, routers, firewalls, wireless controllers)', 'system administration', 'network security', 'nist standards', 'disaster recovery', 'information security systems', 'computer security', 'problem solving', 'operating systems (ms windows, linux)', 'it audits', 'dashboard development', 'devops', 'technical support', 'server management', 'stakeholder management', 'maximo platform', 'business continuity planning', 'confidentiality, integrity, and availability (cia)', 'storage management']
IT Systems Administrator II;['installation', 'network storage management', 'optimization', 'computer systems operation', 'self-motivation', 'prioritization', 'server software management', 'configuration', 'support', 'maintenance', 'self-direction', 'planning', 'teamwork', 'server hardware management']
Inbound Customer Service Representative;['quality control', 'troubleshooting', 'phone etiquette', 'communication skills', 'time management', 'customer service']
School Teacher;['knowledge of teaching methods for high school students', 'teaching', 'mentoring', 'community service coordination', 'student recruitment', 'curriculum implementation', 'classroom management']
Insurance Agent;['property-casualty insurance', 'business development', 'communication', 'office management', 'client education', 'business acumen', 'partnership development', 'staff management', 'entrepreneurial spirit', 'life/health insurance', 'collaboration']
Integrated Marketing VP;['team leadership', 'digital marketing', 'integrated marketing strategy', 'lead generation', 'campaign management', 'data-driven measurement', 'content marketing', 'campaign messaging', 'paid media', 'budget management']
Interior Designer;['technology proficiency (room planner, augmented reality, live chat)', 'sales', 'space planning', 'interior design', 'client relationship management']
Inventory;['price management', 'receiving', 'inventory management', 'location coding', 'data entry', 'eagle system proficiency', 'claim filing', 'markdown management', 'reconciliation', 'order fulfillment']
Inventory Clerk;['stocking shelves', 'computer skills (excel)', 'supply ordering', 'retail operations', 'cleanliness', 'organization', 'receiving', 'inventory management', 'equipment maintenance & repair', 'organizational skills', 'record keeping', 'basic computer skills', 'stocking', 'pricing', 'attention to detail', 'report review', 'fulfilling online orders', 'merchandising', 'documentation', 'stock management', 'detail-oriented', 'multitasking']
Investigator;['interpersonal skills', 'police report analysis', 'interpretation', 'oral communication', 'observation', 'organization', 'cross-referencing', 'communication', 'personnel background research', 'record keeping', 'travel', 'investigative questionnaires', 'self-starting', 'attention to detail', 'investigation', 'undercover investigation', 'discrepancy identification', 'credit report analysis', 'criminal justice information systems', 'report review', 'information extraction', 'affidavit analysis', 'reading comprehension', 'evidence upload', 'database management', 'driving', 'report writing', 'writing', 'information gathering']
Investigator Support;['typing', 'communication', 'investigation', 'organizational skills', 'knowledge of employment discrimination laws', 'data analysis']
Investment Service Partner;['decision making', 'communication', 'problem resolution', 'product/service knowledge', 'risk management', 'customer service']
Janitor;['sanitation regulations knowledge', 'english communication', 'restocking supplies', 'cleaning and disinfecting', 'waste removal', 'changing linens and towels', 'teamwork', 'chemical handling', 'physical stamina (standing, walking, lifting, bending, etc.)']
Java Software Developer;['troubleshooting', 'back end development', 'software development', 'automation', 'version control', 'ci/cd', 'restful services', 'openshift', 'coding', 'frontend technologies (react/redux, angular, javascript)', 'spring', 'java', 'mentoring', 'testing', 'agile methodology', 'kafka', 'technical design', 'gitlab', 'monitoring', 'kubernetes']
 Employment Support Specialist;['microsoft word', 'interpersonal skills', 'transportation training', 'job coaching', 'dependability', 'organizational skills', 'communication skills', 'time management', 'independence', 'professionalism']
Retail Sales Associate;['attention to detail', 'sales', 'prioritization', 'inventory management', 'adaptability (flexible schedule)', 'cash handling (math)', 'organizational skills', 'teamwork', 'customer service', 'communication (verbal and written)']
Office Manager (Healthcare Setting);['interpersonal skills', 'zoom', 'adaptability', 'promoting core values', 'outlook', 'management', 'high energy', 'time management skills', 'networking', 'interviewing', 'travel arrangement', 'teamwork', 'mentoring', 'operations management', 'meeting arrangement', 'supervisory skills', 'workflow management', 'healthcare management', 'self-starter', 'file maintenance', 'presentations', 'administrative skills', 'office software proficiency', 'organization', 'budgeting', 'payroll knowledge', 'problem-solving', 'shorthand', 'collaboration', 'office coordination', 'business development', 'prioritization', 'growth strategy development', 'discretion', 'relationship building', 'p&l management', 'senior management', 'analytical skills', 'report preparation', 'administrative procedures', 'behavioral health', 'billing and voucher processing', 'personnel knowledge', 'call screening', 'excel', 'dictation', 'ms office', 'microsoft word', 'correspondence', 'communication', 'visitor management', 'safety procedures', 'google applications', 'decision-making', 'training management', 'strategic initiatives', 'regulatory compliance', 'entrepreneurial spirit', 'scheduling', 'self-awareness', 'experience working with children (recreational)', 'powerpoint', 'communication skills', 'financial management', 'customer service', 'microsoft access', 'transcription', 'emotional intelligence', 'meeting and appointment management', 'calendar management', 'phone handling', 'event planning', 'organizational skills', 'management skills', 'gymnastics coaching', 'word', 'onboarding', 'self-motivation', 'office routines', 'leadership', 'xcel competitive team coaching', 'written communication', 'confidentiality', 'project management', 'financial acumen', 'finance', 'profitability improvement']
Kitchen Cleaner;['physical stamina', 'rapid learning', 'material handling', 'repair facilitation', 'hand tool proficiency', 'sanitation', 'safety compliance', 'cleanliness maintenance', 'maintenance coordination', 'equipment handling', 'cleaning', 'teamwork']
Kitchen Exhaust Associate;['attention to detail', 'physical stamina (climbing ladders, lifting 50 lbs)', 'equipment setup', 'kitchen hood cleaning', 'safety procedures', 'power washing', 'job site setup and take down']
Landlord Tenant Attorney;['filing summonses and complaints', 'drafting summary judgment motions', 'general litigation', 'landlord-tenant law', 'completing discovery']
Licensing;['self-starter', 'multitasking', 'stakeholder communication', 'pressure management', 'flexible', 'organizational skills', 'title strategy', 'communication skills', 'licensing', 'product launch coordination', 'category management', 'proactive', 'communication planning']
Litigation Attorney;['estate administration', 'interpersonal skills', 'elder law', 'estate planning', 'real estate law', 'adaptability', 'litigation']
Loss Prevention Detective;['flexibility', 'judgment', 'safety programs', 'investigative skills', 'loss prevention', 'analytical skills', 'communication skills', 'computer skills', 'time management', 'teamwork', 'theft prevention', 'apprehension']
Mainframe Programmer Analyst;['jcl', 'troubleshooting', 'ibm utilities', 'file aid utility', 'spufi', 'os/mvs', 'sync sort utility', 'sdlc', 'software testing', 'cics', 'requirements gathering', 'problem solving', 'sql', 'tso/ispf', 'qmf utilities', 'cobol', 'analytical skills', 'communication skills', 'vsam']
Management Consultant;['performance improvement', 'data analysis', 'mergers and acquisitions', 'communication', 'quality management', 'logistics', 'supply chain', 'problem solving', 'independent work', 'business process transformation', 'project management', 'critical thinking', 'teamwork', 'process mapping', 'manufacturing']
Marketing;['marketing results measurement', 'radio marketing', 'interpersonal skills', 'data tracking', 'marketing', 'print marketing', 'newsletter writing', 'social media marketing', 'cms systems (plus)', 'external communications', 'web content development', 'advertising', 'teamwork', 'independence', 'marketing optimization', 'market launch', 'knowledge of state, local and federal funding sources', 'customer insights analysis', 'design', 'a/b testing', 'internet research', 'customer support', 'campaign execution', 'stakeholder management', 'creative judgment', 'branding', 'collaboration skills', 'planning', 'multitasking', 'education technology marketing', 'event support', 'performance measurement', 'marketing plan execution', 'adobe photoshop', 'print publication', 'marketing materials management', 'multi-channel marketing', 'data analysis', 'organization', 'marketing analytics', 'sales processes knowledge', 'k-12 industry targeting', 'relationship management', 'attention to detail', 'google analytics', 'cross-functional collaboration', 'ms office proficiency', 'content curation', 'promotional inventory management', 'collaboration', 'video editing', 'brand awareness', 'prioritization', 'media', 'patient recruitment', 'detail-oriented', 'marketing tactics', 'salesforce', 'social media management', 'analytical skills', 'graphics design', 'event planning and execution', 'cross-functional management', 'marketing reporting', 'marketing performance analysis', 'social media', 'content coordination', 'site content management', 'proposal development', 'vendor management', 'excel', 'campaign performance analysis', 'unit setup', 'market research', 'television marketing', 'communication', 'adobe suite (photoshop, indesign) (plus)', 'fundraising marketing', 'marketing automation', 'decision-making', 'analytical problem solving', 'cms management', 'promotions', 'working under pressure', 'adobe indesign', 'patient retention', 'partnership management', 'database management', 'field marketing', 'website management', 'crm', 'content writing and editing', 'communication skills', 'powerpoint', 'writing', 'data collection (quantitative & qualitative)', 'data-driven marketing campaigns', 'salesforce (preferred)', 'strategic messaging', 'microsoft office', 'sales collaboration', 'accuracy', 'strategic thinking', 'campaign management (online/offline)', 'marketing campaign support', 'calendar management', 'organizational skills', 'event coordination', 'market trend analysis', 'saas marketing', 'meeting deadlines', 'initiative', 'event management', 'content marketing', 'crm tools', 'leadership', 'client relations', 'adobe creative suite', 'presentation skills', 'grant writing', 'crm systems (e.g. blackbaud)', 'written communication', 'eloqua', 'content creation', 'brand management', 'project management', 'budget management']
Marketing Advisor;['attention to detail', 'ad campaigns', 'office suite', 'communication', 'marketing strategy', 'project management', 'marketing', 'client/account service', 'time management', 'writing']
Marketing Communications;['written communication', 'media advisory writing', 'social media marketing', 'market research', 'social media reporting', 'problem-solving', 'adaptability', 'marketing campaign execution', 'media relations', 'event description writing', 'social media management', 'e-communication', 'event operations', 'verbal communication', 'copywriting', 'press release writing', 'social media content scheduling', 'teamwork']
Marketing Content;['video script writing', 'social media content creation', 'editorial calendar implementation', 'content creation (long & short form)', 'website updates', 'landing page optimization', 'blog marketing', 'project management', 'digital paid media campaigns', 'analytical skills', 'copywriting', 'newsletter creation', 'email marketing']
Marketing Event;['product demonstration', 'customer interaction', 'written communication', 'brand ambassadorship', 'computer literacy', 'data tracking', 'client interaction', 'display setup & breakdown', 'motivation', 'training', 'interpersonal communication', 'event coordination']
Marketing Leader;['decision making', 'ecommerce strategy', 'content strategy', 'customer engagement', 'interpersonal skills', 'risk identification', 'marketing', 'competitive analysis', 'data analysis', 'seo', 'microsoft office suite', 'sem', 'channel marketing', 'integrated marketing', 'profitability analysis', 'problem solving', 'retail business growth', 'leadership', 'strategic positioning', 'workflow optimization', 'strategic planning', 'communication (written & verbal)', 'team development', 'roi analysis', 'customer journey mapping', 'cross-functional team leadership']
Marketing Project;['attention to detail', 'prioritization', 'problem-solving', 'communication', 'web search', 'marketing', 'microsoft excel', 'deadline management', 'grammatical skills', 'microsoft powerpoint', 'writing', 'collaboration', 'sourcing']
Marketing Vice President;['team leadership', 'social media marketing', 'paid marketing', 'customer acquisition', 'strategic marketing', 'creative strategy', 'crm', 'customer retention', 'content marketing', 'brand strategy', 'organic marketing', 'media strategy', 'sem']
Marketing Visionary;['healthcare management', 'communication', 'problem solving', 'compliance', 'integration', 'analytical skills', 'strategic planning', 'budgeting', 'leadership', 'financial management']
Marketing and Communications;['event support', 'written communication', 'social media management (facebook, linkedin, twitter)', 'microsoft office proficiency', 'communications strategy', 'marketing automation (preferred)', 'organizational skills', 'website management', 'verbal communication', 'newsletter creation']
Marketing and Visuals;['instagram content creation', 'social media marketing', 'photoshop (preferred)', 'marketing strategy', 'video editing (preferred)', 'indesign (preferred)', 'social media platform knowledge', 'content creation', 'image editing', 'content optimization', 'relationship building', 'visual editing', 'social media management', 'copywriting', 'data analysis', 'collaboration', 'social graphics (preferred)']
Medicaid Fraud Intake Officer;['correspondence', 'fraud detection', 'complaint handling', 'abuse/neglect investigation', 'search warrant assistance', 'data collection', 'public communication']
Medical;['suture removal', 'prescription authorization', 'it systems operation', 'knowledge of medical standards, policies, and procedures', 'patient interviewing', 'calmness under pressure', 'empathy', 'equipment sterilization', 'oral communication', 'cpr', 'medical documentation', 'phone message processing', 'data accuracy', 'phone operation', 'organizational skills', 'patient flow management', 'stress management', 'medication administration', 'team collaboration', 'waived lab tests', 'assisting physician with exams', 'routine screening tests', 'patient preparation for examinations', 'phlebotomy', 'specimen collection', 'problem solving', 'osha safety standards', 'treatment procedure explanation', 'computer operation', 'dressing changes', 'written communication', 'medical terminology', 'medical product knowledge', 'detail-oriented', 'vital signs measurement', 'first aid', 'bandage application', 'medical service knowledge']
Medical Case Manager;['knowledge of disease states', 'medical terminology', 'communication', 'needs assessment', 'medicaid/medicare knowledge', 'care coordination', 'care planning']
Medical Office;['collecting copays', 'patient information management', 'patient relations', 'check-in/check-out', 'cash handling', 'medical records management', 'scheduling', 'answering phones', 'ehr system', 'insurance verification']
Medical Receptionist;['computer literacy', 'patient history collection', 'phone etiquette', 'safety regulations', 'hipaa compliance', 'clerical duties', 'appointment scheduling', 'triaging', 'patient flow management', 'vital statistics measurement', 'customer service skills', 'patient care coordination', 'medical record keeping', 'healthcare experience', 'typing', 'physician scheduling', 'medical assistance', 'charting', 'communication skills', 'patient registration', 'communication skills (bilingual preferred)', 'customer service']
Member Health Advocate;['database systems', 'communication', 'utilization management', 'health education', 'documentation', 'disease management', 'benefit inquiries', 'healthcare inquiries']
Mental Health Worker;['assisting with activities of daily living (adls)', 'basic procedures', 'supplies management', 'patient care', 'reporting', 'hygiene assistance', 'vital signs monitoring']
Network System Administrator;['systems administration', 'linux', 'bash', 'network design', 'azure', 'usability', 'configuration management', 'availability', 'security', 'scalability', 'python', 'api gateway management']
Network Systems Administrator;['microsoft active directory', 'network administration', 'troubleshooting', 'network security best practices', 'vmware', 'virtualization', 'aws services (ec2, vpc, security groups, cloudwatch)', 'microsoft server operating systems (windows server)', 'networking services (dns, dhcp)', 'scripting and automation (aws tools, cloudformation)']
Network and Systems Administrator;['backup', 'cloud platforms', 'troubleshooting', 'data privacy', 'network topology', 'wan', 'active directory', 'windows server', 'communication', 'networking', 'network security', 'virtualization', 'routers', 'cisco wireless', 'hubs', 'software recommendations', 'switches', 'network configuration diagrams', 'lan', 'data transfer protocols', 'patching', 'cabling', 'servers', 'google admin', 'cisco data', 'technical support', 'hardware recommendations', 'sccm', 'server management', 'software deployment', 'identity management', 'san', 'storage management', 'cisco voice', 'communication protocols', 'customer service']
Nurse Administrator;['employee education', 'supervising', 'team building', 'pacu (post-anesthesia care unit)', 'acls certification', 'accreditation preparation (aaahc)', 'circulating (operating room)', 'regulatory compliance', 'patient scheduling', 'leadership', 'staff scheduling', 'registered nurse (rn) license', 'surgical operations', 'physician committee collaboration', 'pre-op care', 'policy procedures', 'workflow management', 'bls certification', 'pals certification', 'scrubbing (operating room)']
Nursing;['bladder training assistance', 'feeding patients', 'observation of patient status', 'taking vital signs', 'medical treatment', 'equipment handling', 'mental health (inpatient/outpatient)', 'diagnostic procedures', 'patient care', 'self-care training', 'circulatory checks', 'patient hygiene', 'lifting/transferring patients', 'patient transfer', 'patient ambulation', 'patient handling', 'neurological checks', 'nursing care', 'self-care promotion', 'care plan contribution', 'patient positioning', 'emotional support', 'treatment procedures', 'communication skills', 'personal care', 'observation skills']
Office Administrator;['writing skills', 'office administration', 'confidentiality', 'bookkeeping', 'reporting', 'communication skills', 'time management', 'budgeting', 'microsoft office suite (word, excel, outlook, access)', 'multitasking']
Office Assistant;['customer payment processing', 'attention to detail', 'invoice management', 'organizational skills', 'accounts receivable', 'teamwork', 'customer service']
Office Of The President;['organization', 'attention to detail', 'prioritization', 'communication', 'calendar management', 'confidentiality', 'business english', 'microsoft office suite', 'scheduling', 'information gathering', 'administrative support', 'customer service']
Hospital Administrator;['healthcare management', 'corrective action implementation', 'classical music', 'pps (prospective payment system) model', 'business acumen', 'diplomacy', 'ethical conduct', 'specialty hospital operations', 'mission-driven content', 'strategic thinking', 'community education', 'medical staff collaboration', 'employee engagement', 'communication', 'hipaa compliance', 'healthcare reform awareness', 'strategic alliance building', 'journalism', 'complaint/grievance handling', 'fundraising', 'listening skills', 'hospital representation', 'relationship management', 'physician recruitment and retention', 'leading organizations of meaningful scale and complexity', 'clinical operations', 'mentoring', 'problem-solving', 'budgeting (annual operating, 5-year capital)', 'people management', 'executive coaching', 'acute care', 'turnarounds', 'consulting', 'healthcare law and regulation knowledge', 'operations management', 'accounting', 'regulatory compliance (state, federal, jcaho)', 'strategic acumen', 'building strong organizational cultures', 'partnership building', 'executive leadership', 'leadership', 'budget deviation identification', 'collaboration', 'building diverse and inclusive communities', 'presentation skills', 'negotiation', 'mission-driven orientation', 'revenue generation', 'stakeholder management', 'business development', 'case management', 'media', 'discretion', 'healthcare compliance', 'strategic planning', 'communication skills', 'persuasion', 'community education (health programs)', 'financial management', 'policy adherence', 'team building', 'understanding the digital landscape']
Business Manager;['people management', 'cash flow management', 'technical skills', 'payroll processing', 'inventory management', 'technology management', 'project management', 'conflict resolution', 'relationship building', 'hr documentation', 'partnership building', 'computer skills', 'budgeting', 'scheduling', 'facilities management', 'financial management', 'vendor relationship management', 'expense management']
Organized Retail Crime Investigator;['orc investigations', 'complex investigations', 'verbal communication skills', 'intelligence gathering', 'field tactics', 'case management', 'networking', 'windows based systems proficiency', 'case initiation', 'law enforcement influence', 'analytical skills', 'court preparation', 'training', 'testifying']
Outreach and Engagement Manager;['organization', 'negotiation', 'program development', 'content development', 'prioritization', 'interpersonal skills', 'strategic alliances', 'clear communication', 'advocacy education', 'partnership development', 'stakeholder engagement', 'critical thinking', 'network management', 'analytical skills', 'alliance building', 'persuasive communication', 'time management', 'patient advocacy']
Patient Access Representative;['typing', 'communication', 'data entry', 'compassionate listening', 'customer service']
Patient Advocate;['phone communication', 'interpersonal skills', 'medical coding', 'independent work', 'empathy', 'communication (verbal and written)', 'communication', 'medical billing', 'organizational skills', 'pc proficiency', 'problem-solving', 'investigation', 'active listening', 'follow-up', 'telephone skills', 'patient communication', 'patient advocacy', 'typing', 'documentation', 'data entry', 'communication skills', 'multitasking', 'complaint resolution', 'customer service', 'call center']
Patient Care Technician;['patient monitoring', 'specimen collection', 'patient mobility assistance', 'patient care', 'activities of daily living (adl) assistance', 'basic life support (bls)', 'acute hospital experience', 'patient information recording', 'bed linen management']
Patient Engagement Liaison;['drug development', 'communication', 'pharmaceutical industry knowledge', 'clinical trial support', 'relationship building', 'stakeholder engagement', 'collaboration', 'patient advocacy']
Patient Services;['patient information management', 'bilingual english/spanish (preferred)', 'communication', 'healthcare (preferred)', 'problem solving', 'data entry', 'medical billing (preferred)', 'time management', 'excel', 'word', 'customer service', 'call center']
Digital Media Strategist;['sales development', 'sales/corporate strategy', 'programmatic advertising', 'rfp/rfi response', 'dooh (digital out-of-home)', 'ad tech', 'writing skills', 'consulting', 'digital strategy', 'analytical skills', 'media planning', 'ctv (connected tv)', 'research skills', 'communication skills', 'strategic thinking']
Logistics Worker;['quality standards maintenance', 'physical stamina', 'communication', 'safety compliance', 'problem reporting', 'relationship building', 'policy and procedure adherence', 'active listening', 'lifting (up to 50 lbs)', 'teamwork', 'physical dexterity (bending, twisting, pulling, stooping)']
Case Manager (Healthcare);['rn license', 'clinical experience', 'communication (oral & written)', 'clinical assessment', 'population management', 'community resource referral', 'care planning', 'medical practices knowledge', 'organizational skills', 'criteria determination', 'remote work', 'teamwork', 'community resource knowledge', 'medical record assessment', 'healthcare advocacy', 'level of care assessment', 'process improvement', 'discharge planning', 'care coordination', 'referral management', 'cost-effective solutions', 'prioritization', 'case management', 'needs assessment', 'insurance benefit structures knowledge', 'telecommuting', 'managed care', 'multitasking', 'customer service']
Nursing Assistant;['infection control', 'patience', 'compassion', 'patient care', 'activities of daily living (adl) assistance', 'safety procedures', 'communication skills']
Nurse;['independent work', 'transitions of care', 'verbal communication', 'diagnosis', 'care planning', 'delegation', 'hipaa compliance', 'patient education', 'interdisciplinary collaboration', 'patient assessment', 'safety precautions', 'microsoft office suite', 'teamwork', 'electronic health record (ehr)', 'nursing care', 'problem solving', 'healthcare industry knowledge', 'written communication', 'prioritization', 'medical care implementation', 'privacy policies', 'patient care best practices']
Performance Marketing Specialist;['digital marketing', 'communication', 'roi analysis', 'web analytics (adobe analytics, facebook ads manager)', 'reporting', 'media campaign management', 'excel', 'data analysis', 'paid media']
Perioperative Educator;['acls instructor', 'education methodology', 'instructional design', 'registered nurse (rn)', 'adult learning principles', 'needs assessment', 'clinical expertise', 'preceptor', 'presentation skills', 'curriculum development', 'bcls instructor', 'nursing']
Pharmacy Marketing Representative;['prioritization', 'sales', 'lead generation', 'organizational skills', 'time management', 'multitasking', 'customer service', 'relationship management', 'communication (verbal & written)']
Polygraph Examiner;['counterintelligence analysis', 'debriefing', 'elicitation', 'interviewing', 'scoring methods', 'interrogation', 'physiological response assessment', 'report writing', 'firearms proficiency', 'security analysis', 'polygraph assessment', 'test techniques', 'background investigation']
Executive Assistant;['executive support', 'prioritization', 'calendar management', 'confidentiality', 'microsoft office proficiency', 'communication skills (verbal and written)', 'multitasking', 'expense reporting', 'travel planning', 'meeting scheduling']
Private Investigator;['recorded statements', 'liability investigation', 'property investigation', 'healthcare insurance investigation', 'interviewing', 'scene investigations', 'investigative skills', 'disability investigation', 'information collection', 'workers compensation investigation', 'life insurance investigation', 'surveillance', 'observation']
Product Development Associate;['strategic vision', 'product development', 'problem solving', 'product ownership', 'client facing']
Product Marketing;['lead nurturing', 'lead scoring', 'sales and marketing leads pipeline management', 'growth marketing', 'stakeholder communication', 'lead acquisition', 'roadmap strategy and definition', 'product delivery', 'salesforce marketing cloud', 'product management', 'marketing automation', 'sales cloud', 'marketing funnel optimization', 'lead conversion', 'feature delivery', 'abm (account based marketing)', 'product marketing', 'program management', 'business development', 'project management', 'lead grading']
Product Marketing Vice President;['inbound marketing', 'strategy development', 'growth marketing', 'account-based marketing', 'project management', 'process development', 'communication skills', 'data analysis', 'paid media', 'demand generation']
Product Risk Analyst;['negotiation', 'information security', 'technical risk management', 'business to technology translation', 'problem solving', 'technical acumen', 'remediation planning', 'risk assessment', 'reporting', 'communication (written and verbal)', 'scripting (for automation)', 'project planning', 'grc (governance, risk, and compliance)', 'risk frameworks (cmmi, nist csf, nist rmf, fair, iso, coso, cobit, aicpa tsp/soc, pci, fedramp/nist)', 'collaboration', 'metrics/kpi development']
Product Tester;['communication', 'project management', 'compliance', 'quality control (qc)', 'technical support', 'textile testing procedures', 'quality assurance (qa)', 'textile technology']
Academic Researcher;['teaching', 'mentoring', 'research', 'quantitative research methods', 'presentations', 'publications', 'extramural funding', 'qualitative research methods']
Educational Coordinator;['interpersonal skills', 'adaptability', 'marketing', 'computer skills', 'oral communication', 'curriculum development', 'coaching', 'program planning', 'technical skills', 'instructional methodologies', 'user research', 'organizational skills', 'risk management', 'social work', 'administration', 'mentoring', 'instructional design', 'instructional pedagogies', 'rehabilitation', 'kpi development & measurement', 'cross-functional collaboration', 'special education', 'program management', 'written communication', 'stakeholder management', 'process definition', 'prioritization', 'supervisory skills', 'project management', 'financial modeling', 'time management', 'writing', 'transition of students with disabilities']
Program - Adult and Community Education;['program advisory committee management', 'facilities utilization', 'purchasing procedures', 'compliance reporting (coe, federal, ccs, ode, odhe)', 'management', 'crisis counseling', 'employment readiness training', 'curriculum development', 'referral to community services', 'transition seminars', 'market program', 'mediation', 'program performance monitoring', 'program/project management', 'program information dissemination', 'student/program assessment', 'business and industry relations', 'student satisfaction surveys', 'community outreach', 'transcript and certificate management', 'testing services coordination', 'orientation coordination', 'expenditure management', 'workforce development program implementation', 'enrollment management', 'training', 'adult education curriculum development', 'labor relations', 'student appeals process', 'trend analysis', 'disability accommodations', 'roster creation', 'promote programs', 'database management', 'job board management', 'admissions documentation', 'employer interaction', 'communication skills', 'student advising and counseling', 'data reporting']
Program Attorney;['legal aid', 'advocacy', 'case management', 'nonprofit law', 'reporting', 'data management', 'supervision', 'legal writing', 'program compliance', 'coaching', 'commercial leasing']
Program Compliance;['corrective action planning', 'policy & procedure maintenance', 'data analysis', 'quality control', 'training development', 'microsoft office proficiency', 'knowledge of housing statutes and regulations', 'regulatory implementation', 'hud policy and regulations', 'regulatory adherence', 'consultation', 'federal, state, and local regulations (hcvp)', 'auditing', 'grant application coordination', 'compliance monitoring', 'program compliance']
Programmer Analyst;['testthat', 'dplyr', 'sas code comprehension', 'sql', 'r programming']
Programmer Oracle E-Business;['unix shell scripting', 'plsql', 'oracle ebs', 'plsql development on oracle applications', 'reports & form builder', 'edi transaction processing', 'oracle sqlplus', 'discoverer administration', 'xml publisher', 'ftp transmissions', 'toad']
